Event,StartRow,FailRow,EndRow,SlipDuration,Stiffness,NptsStiffness,StiffnessIntercept,FailTime,FailDisplacement
0,1377020,1378458,1380778,2.320000,0.000189,1135,-1.718122,4610.840000,12786.300000
1,1380778,1382980,1385071,2.090000,0.000125,1527,-0.907620,4615.360000,12831.400000
2,1385071,1387884,1389947,2.070000,0.000086,2813,-0.421027,4620.260000,12880.300000
3,1389947,1392036,1394573,2.540000,0.000142,1895,-1.135758,4624.410000,12921.700000
4,1394573,1397361,1399898,2.540000,0.000124,2647,-0.921653,4629.740000,12974.900000
5,1399898,1401598,1404311,2.710000,0.000122,1691,-0.897942,4633.980000,13017.200000
6,1404311,1406535,1409013,2.480000,0.000108,2224,-0.722210,4638.910000,13066.400000
7,1409013,1411943,1414845,2.900000,0.000141,1910,-1.158019,4644.320000,13120.000000
8,1414845,1416403,1418772,2.370000,0.000255,1050,-2.663846,4648.780000,13164.500000
9,1418772,1421985,1423847,1.870000,0.000118,3213,-0.863257,4654.360000,13218.800000
10,1423847,1426466,1428424,1.960000,0.000209,2401,-2.084253,4658.840000,13263.200000
11,1428424,1431147,1433012,1.860000,0.000172,2667,-1.595539,4663.530000,13310.000000
12,1433012,1435661,1437455,1.790000,0.000161,2649,-1.463277,4668.040000,13353.900000
13,1437455,1440141,1442115,1.970000,0.000204,2613,-2.033555,4672.520000,13398.400000
14,1442115,1444341,1446701,2.360000,0.000177,2010,-1.692781,4676.720000,13440.400000
15,1446701,1448238,1451068,2.830000,0.000160,1380,-1.459423,4680.620000,13479.200000
16,1451068,1453272,1456996,3.720000,0.000088,2204,-0.494301,4685.650000,13529.500000
17,1456996,1459153,1461011,1.860000,0.000223,2157,-2.343588,4691.530000,13588.000000
18,1461011,1464268,1465861,1.590000,0.000133,3257,-1.125070,4696.650000,13638.300000
19,1465861,1468638,1470616,1.970000,0.000225,2329,-2.384440,4701.020000,13681.400000
20,1470616,1472904,1474841,1.940000,0.000205,2236,-2.116517,4705.280000,13723.800000
21,1474841,1477259,1479470,2.210000,0.000161,2418,-1.530812,4709.640000,13767.300000
22,1479470,1556306,1541693,-14.610000,0.000199,1645,-2.052258,4788.680000,13853.400000
23,1541693,1565735,1567681,1.950000,0.000024,53,0.335174,4798.110000,13947.400000
24,1567681,1569010,1570785,1.770000,0.001771,65,-24.047213,4801.390000,13979.900000
